# Experiment 02 Phase 3A raw repetitions — ONE implementation per process.
# ns_per_message = END-TO-END elapsed_ns / messages delivered (NOT a per-call latency, NOT one-way handoff).
# The cursor addresses/line indices below were measured on the SAME object this repetition timed,
# OUTSIDE the timed interval. layout_ok=PASS means the measured placement matched the claim.
# object_addr/object_size/payload_offset/payload_begin_addr are that same object's footprint evidence:
# the two cursor policies must agree on object_size and on payload_offset so the payload does not
# move between cache sets when cursor placement changes.
# All 5 measured repetitions are present; 1 warm-up repetition(s) are excluded from every published figure.
rep,impl,message_bytes,capacity,message_count,elapsed_ns,ns_per_message,messages_per_second,producer_full_retries,consumer_empty_retries,checksum,correctness,reported_cache_line_size,head_addr,tail_addr,head_line,tail_line,cursors_same_line,layout_ok,object_addr,object_size,payload_offset,payload_begin_addr
0,separated,64,1024,10000000,302751458,30.275146,33030394.192,130436,20340066,8986780111068692703,PASS,128,5234524160,5234524288,40894720,40894721,no,PASS,5234524160,65792,256,5234524416
1,separated,64,1024,10000000,321558958,32.155896,31098496.096,91350,22569069,8986780111068692703,PASS,128,4966088704,4966088832,38797568,38797569,no,PASS,4966088704,65792,256,4966088960
2,separated,64,1024,10000000,341269459,34.126946,29302358.404,138761,29283463,8986780111068692703,PASS,128,4697653248,4697653376,36700416,36700417,no,PASS,4697653248,65792,256,4697653504
3,separated,64,1024,10000000,320896500,32.089650,31162695.760,257674,25237510,8986780111068692703,PASS,128,4697653248,4697653376,36700416,36700417,no,PASS,4697653248,65792,256,4697653504
4,separated,64,1024,10000000,381430833,38.143083,26217073.018,384187,35356603,8986780111068692703,PASS,128,5234524160,5234524288,40894720,40894721,no,PASS,5234524160,65792,256,5234524416
