# Experiment 02 Phase 3A raw repetitions — ONE implementation per process.
# ns_per_message = END-TO-END elapsed_ns / messages delivered (NOT a per-call latency, NOT one-way handoff).
# The cursor addresses/line indices below were measured on the SAME object this repetition timed,
# OUTSIDE the timed interval. layout_ok=PASS means the measured placement matched the claim.
# object_addr/object_size/payload_offset/payload_begin_addr are that same object's footprint evidence:
# the two cursor policies must agree on object_size and on payload_offset so the payload does not
# move between cache sets when cursor placement changes.
# All 5 measured repetitions are present; 1 warm-up repetition(s) are excluded from every published figure.
rep,impl,message_bytes,capacity,message_count,elapsed_ns,ns_per_message,messages_per_second,producer_full_retries,consumer_empty_retries,checksum,correctness,reported_cache_line_size,head_addr,tail_addr,head_line,tail_line,cursors_same_line,layout_ok,object_addr,object_size,payload_offset,payload_begin_addr
0,separated,8,65536,10000000,138508500,13.850850,72197735.157,3146,13377983,18446744073709551615,PASS,128,4563435520,4563435648,35651840,35651841,no,PASS,4563435520,524544,256,4563435776
1,separated,8,65536,10000000,151129166,15.112917,66168564.710,0,22659664,18446744073709551615,PASS,128,4966088704,4966088832,38797568,38797569,no,PASS,4966088704,524544,256,4966088960
2,separated,8,65536,10000000,133641542,13.364154,74827032.451,37787,9845543,18446744073709551615,PASS,128,4831870976,4831871104,37748992,37748993,no,PASS,4831870976,524544,256,4831871232
3,separated,8,65536,10000000,137920042,13.792004,72505778.384,62424,10091706,18446744073709551615,PASS,128,4831870976,4831871104,37748992,37748993,no,PASS,4831870976,524544,256,4831871232
4,separated,8,65536,10000000,114222875,11.422287,87548137.796,115537,5703018,18446744073709551615,PASS,128,4966088704,4966088832,38797568,38797569,no,PASS,4966088704,524544,256,4966088960
