# Experiment 02 Phase 3A raw repetitions — ONE implementation per process.
# ns_per_message = END-TO-END elapsed_ns / messages delivered (NOT a per-call latency, NOT one-way handoff).
# The cursor addresses/line indices below were measured on the SAME object this repetition timed,
# OUTSIDE the timed interval. layout_ok=PASS means the measured placement matched the claim.
# All 5 measured repetitions are present; 1 warm-up repetition(s) are excluded from every published figure.
rep,impl,message_bytes,capacity,message_count,elapsed_ns,ns_per_message,messages_per_second,producer_full_retries,consumer_empty_retries,checksum,correctness,reported_cache_line_size,head_addr,tail_addr,head_line,tail_line,cursors_same_line,layout_ok
0,separated,64,1024,10000000,360442291,36.044229,27743692.263,671016,34479675,8986780111068692703,PASS,128,5234524160,5234524288,40894720,40894721,no,PASS
1,separated,64,1024,10000000,385458750,38.545875,25943113.238,226805,42569395,8986780111068692703,PASS,128,4966088704,4966088832,38797568,38797569,no,PASS
2,separated,64,1024,10000000,371609417,37.160942,26909974.674,4759414,39535448,8986780111068692703,PASS,128,4697653248,4697653376,36700416,36700417,no,PASS
3,separated,64,1024,10000000,339352500,33.935250,29467883.690,277719,33509275,8986780111068692703,PASS,128,4429217792,4429217920,34603264,34603265,no,PASS
4,separated,64,1024,10000000,314906208,31.490621,31755487.018,93453,27281225,8986780111068692703,PASS,128,4966088704,4966088832,38797568,38797569,no,PASS
