# Experiment 02 Phase 3A raw repetitions — ONE implementation per process.
# ns_per_message = END-TO-END elapsed_ns / messages delivered (NOT a per-call latency, NOT one-way handoff).
# The cursor addresses/line indices below were measured on the SAME object this repetition timed,
# OUTSIDE the timed interval. layout_ok=PASS means the measured placement matched the claim.
# object_addr/object_size/payload_offset/payload_begin_addr are that same object's footprint evidence:
# the two cursor policies must agree on object_size and on payload_offset so the payload does not
# move between cache sets when cursor placement changes.
# All 5 measured repetitions are present; 1 warm-up repetition(s) are excluded from every published figure.
rep,impl,message_bytes,capacity,message_count,elapsed_ns,ns_per_message,messages_per_second,producer_full_retries,consumer_empty_retries,checksum,correctness,reported_cache_line_size,head_addr,tail_addr,head_line,tail_line,cursors_same_line,layout_ok,object_addr,object_size,payload_offset,payload_begin_addr
0,same_line,32,4096,10000000,243921083,24.392108,40996866.187,2253157,5539998,15742678983221721015,PASS,128,5368741888,5368741896,41943296,41943296,yes,PASS,5368741888,131328,256,5368742144
1,same_line,32,4096,10000000,240171042,24.017104,41636993.023,3110059,3925048,15742678983221721015,PASS,128,5100306432,5100306440,39846144,39846144,yes,PASS,5100306432,131328,256,5100306688
2,same_line,32,4096,10000000,295622666,29.562267,33826905.546,2077944,8531351,15742678983221721015,PASS,128,5368741888,5368741896,41943296,41943296,yes,PASS,5368741888,131328,256,5368742144
3,same_line,32,4096,10000000,230769209,23.076921,43333337.421,3034846,1301890,15742678983221721015,PASS,128,5368741888,5368741896,41943296,41943296,yes,PASS,5368741888,131328,256,5368742144
4,same_line,32,4096,10000000,292650083,29.265008,34170501.158,1427004,9251696,15742678983221721015,PASS,128,5368741888,5368741896,41943296,41943296,yes,PASS,5368741888,131328,256,5368742144
