# orderbook_gap_bench - controlled best-delete gap sweep (linear re-scan vs hierarchical occupancy lookup)
# ladder per row: K+1=4097 ask levels g ticks apart (floor survives); every timed delete rescans exactly g slots
# gaps swept: 1024,512,256,128,64,32,16,8,4,2,1
# one block = fresh snapshot cold start (untimed) + 4096 best-deletes; 128 blocks per impl/gap; selected impls interleaved per block (same process, same clock)
# impl,gap_ticks,ns_per_delete_best,ns_per_delete_mean,p50,p99,max,blocks
flat,1024,274.2207,309.9498,305.1758,403.3203,413.4114,128
bits,1024,9.7554,10.7876,10.6506,13.4482,18.2903,128
# sink=0x0000000000000000
flat,512,145.3857,160.4379,159.7390,182.8511,224.1008,128
bits,512,6.6731,8.5172,8.6570,9.9082,10.3862,128
# sink=0x0000000000000000
flat,256,78.7456,87.0492,86.8428,102.6206,110.6873,128
bits,256,5.4932,7.0001,6.9785,9.7148,10.3962,128
# sink=0x0000000000000000
flat,128,40.1917,45.0269,44.5557,49.6521,68.0134,128
bits,128,5.1475,6.2104,6.1443,7.5786,8.1990,128
# sink=0x0000000000000000
flat,64,18.7886,21.2732,21.4131,25.1567,25.4924,128
bits,64,4.8118,5.6949,5.5237,7.8025,10.9761,128
# sink=0x0000000000000000
flat,32,10.8948,12.5496,12.1765,17.4663,47.3228,128
bits,32,4.9539,5.5613,5.4932,8.3108,9.7554,128
# sink=0x0000000000000000
flat,16,7.2834,7.6743,7.5886,8.8401,12.7461,128
bits,16,4.6692,5.1517,4.7505,10.4778,36.7329,128
# sink=0x0000000000000000
flat,8,5.0251,5.1606,5.0659,6.4087,6.6631,128
bits,8,4.2317,4.4959,4.4353,5.7068,5.8389,128
# sink=0x0000000000000000
flat,4,4.1099,4.3269,4.2625,5.9814,6.5510,128
bits,4,4.1809,4.6306,4.5571,6.8157,9.7961,128
# sink=0x0000000000000000
flat,2,3.1230,3.3769,3.2554,4.0588,4.4456,128
bits,2,4.0486,4.3246,4.1606,7.6194,19.8770,128
# sink=0x0000000000000000
flat,1,2.9602,3.2256,3.0925,4.0894,4.1504,128
bits,1,3.8960,3.9940,3.9673,4.0996,7.3750,128
# sink=0x0000000000000000
