# orderbook_gap_bench - controlled best-delete gap sweep (linear re-scan vs hierarchical occupancy lookup)
# ladder per row: K+1=4097 ask levels g ticks apart (floor survives); every timed delete rescans exactly g slots
# gaps swept: 1,2,4,8,16,32,64,128,256,512,1024
# one block = fresh snapshot cold start (untimed) + 4096 best-deletes; 128 blocks per impl/gap; selected impls interleaved per block (same process, same clock)
# impl,gap_ticks,ns_per_delete_best,ns_per_delete_mean,p50,p99,max,blocks
flat,1,2.7974,3.2082,3.0925,4.3540,4.8115,128
bits,1,3.5095,3.7784,3.8044,3.8960,3.9368,128
# sink=0x0000000000000000
flat,2,2.9399,3.6088,3.2349,11.4746,15.8284,128
bits,2,3.7944,4.2903,4.0994,9.5623,14.5466,128
# sink=0x0000000000000000
flat,4,3.7739,4.3584,4.2317,5.7881,6.7039,128
bits,4,4.0181,4.5282,4.4453,5.8391,5.9204,128
# sink=0x0000000000000000
flat,8,4.6997,5.0334,5.0457,6.5205,6.5410,128
bits,8,3.8857,4.3192,4.2927,5.6458,9.2673,128
# sink=0x0000000000000000
flat,16,6.9172,7.8017,7.5786,10.7217,11.4341,128
bits,16,4.3843,4.7957,4.7402,6.1646,6.1851,128
# sink=0x0000000000000000
flat,32,11.1897,12.1227,11.8713,16.9167,18.5342,128
bits,32,5.1167,5.6772,5.5237,7.3955,9.0027,128
# sink=0x0000000000000000
flat,64,20.1924,20.6974,20.3552,24.2820,24.6482,128
bits,64,5.1472,5.3241,5.1777,6.7749,8.1787,128
# sink=0x0000000000000000
flat,128,43.0706,44.2449,43.4468,49.2756,52.8259,128
bits,128,5.4729,5.7040,5.5439,9.2468,9.3789,128
# sink=0x0000000000000000
flat,256,83.0688,84.5837,84.1267,89.1216,91.2476,128
bits,256,5.8186,6.0669,5.9712,7.3752,7.8430,128
# sink=0x0000000000000000
flat,512,143.3511,157.1719,155.4973,171.8140,172.1599,128
bits,512,6.1746,7.0803,7.0496,8.8398,10.9966,128
# sink=0x0000000000000000
flat,1024,274.9431,298.2903,296.1934,325.1445,353.7495,128
bits,1024,9.2468,10.1934,10.0200,11.6882,28.0659,128
# sink=0x0000000000000000
