# orderbook_gap_bench - controlled best-delete gap sweep (linear re-scan vs hierarchical occupancy lookup)
# ladder per row: K+1=4097 ask levels g ticks apart (floor survives); every timed delete rescans exactly g slots
# gaps swept: 1,2,4,8,16,32,64,128,256,512,1024
# one block = fresh snapshot cold start (untimed) + 4096 best-deletes; 128 blocks per impl/gap; selected impls interleaved per block (same process, same clock)
# impl,gap_ticks,ns_per_delete_best,ns_per_delete_mean,p50,p99,max,blocks
flat,1,2.7161,3.2183,3.0720,4.4148,4.5166,128
bits,1,3.4690,3.8277,3.7639,5.0457,7.2937,128
# sink=0x0000000000000000
flat,2,2.8687,3.3667,3.3162,4.4761,4.5471,128
bits,2,3.7332,4.2117,4.0994,5.4016,6.6426,128
# sink=0x0000000000000000
flat,4,3.7537,4.1503,4.1299,5.9814,7.1514,128
bits,4,3.9875,4.6189,4.3743,19.7651,21.6165,128
# sink=0x0000000000000000
flat,8,4.6895,5.2126,5.1575,7.3752,8.7891,128
bits,8,3.9978,4.4326,4.4045,5.4424,5.8186,128
# sink=0x0000000000000000
flat,16,8.1890,8.6327,8.5144,10.4065,10.4473,128
bits,16,4.7302,4.9718,4.9233,5.8696,6.7444,128
# sink=0x0000000000000000
flat,32,11.7390,13.3652,13.1531,23.6816,25.1260,128
bits,32,5.0762,5.8398,5.7273,11.6677,11.9832,128
# sink=0x0000000000000000
flat,64,19.0125,22.1294,21.7896,32.2266,47.5769,128
bits,64,4.7913,6.7520,5.5137,13.8142,125.4475,128
# sink=0x0000000000000000
flat,128,40.1204,44.7657,44.7998,63.1003,63.8223,128
bits,128,5.0964,5.7626,5.7068,7.3242,8.8093,128
# sink=0x0000000000000000
flat,256,78.6846,87.8125,86.5273,112.1318,151.2756,128
bits,256,5.4932,6.3610,6.1543,8.4939,13.7534,128
# sink=0x0000000000000000
flat,512,144.0022,162.6281,160.5122,202.2502,212.5042,128
bits,512,7.2224,8.9031,8.7178,12.1665,17.9951,128
# sink=0x0000000000000000
flat,1024,274.3022,305.3471,299.8352,404.1443,409.0984,128
bits,1024,9.3689,10.2690,9.9590,13.0413,13.7329,128
# sink=0x0000000000000000
