# orderbook_gap_bench - controlled best-delete gap sweep (linear re-scan vs hierarchical occupancy lookup)
# ladder per row: K+1=4097 ask levels g ticks apart (floor survives); every timed delete rescans exactly g slots
# gaps swept: 1024,512,256,128,64,32,16,8,4,2,1
# one block = fresh snapshot cold start (untimed) + 4096 best-deletes; 128 blocks per impl/gap; selected impls interleaved per block (same process, same clock)
# impl,gap_ticks,ns_per_delete_best,ns_per_delete_mean,p50,p99,max,blocks
flat,1024,274.3735,301.8839,298.2585,347.2087,411.2041,128
bits,1024,9.5112,10.3718,10.2031,12.3699,13.8447,128
# sink=0x0000000000000000
flat,512,144.2463,160.2709,158.9863,181.3455,191.4673,128
bits,512,6.7139,8.3302,8.3110,9.9590,15.2485,128
# sink=0x0000000000000000
flat,256,77.9316,87.3858,86.7107,96.6187,111.3689,128
bits,256,5.5237,6.8734,6.7544,8.2908,9.1755,128
# sink=0x0000000000000000
flat,128,40.3240,44.4396,44.1589,48.7468,51.5747,128
bits,128,5.1270,5.8663,5.7983,7.7004,7.8225,128
# sink=0x0000000000000000
flat,64,18.7988,20.8739,21.0671,23.6511,23.8442,128
bits,64,4.8015,5.3868,5.2898,8.1584,8.3213,128
# sink=0x0000000000000000
flat,32,10.9253,12.3462,12.1255,15.7471,25.4109,128
bits,32,4.9031,5.4526,5.4829,6.0325,6.5002,128
# sink=0x0000000000000000
flat,16,7.5581,7.6491,7.5989,8.3721,8.7078,128
bits,16,4.7507,4.8563,4.8015,5.8391,5.9307,128
# sink=0x0000000000000000
flat,8,5.1169,5.2430,5.1575,6.6223,6.6326,128
bits,8,4.3843,4.6829,4.6082,5.9915,6.0120,128
# sink=0x0000000000000000
flat,4,4.0994,4.2887,4.2114,5.4626,5.7983,128
bits,4,4.3640,4.5602,4.4961,5.7168,5.8799,128
# sink=0x0000000000000000
flat,2,3.2349,3.4711,3.4180,4.2217,4.4861,128
bits,2,3.9978,4.1180,4.0996,4.4453,4.5674,128
# sink=0x0000000000000000
flat,1,2.8992,3.7405,3.5400,5.7778,5.8186,128
bits,1,3.7944,3.8953,3.8655,4.4456,5.0251,128
# sink=0x0000000000000000
