# orderbook_gap_bench - controlled best-delete gap sweep (linear re-scan vs hierarchical occupancy lookup)
# ladder per row: K+1=4097 ask levels g ticks apart (floor survives); every timed delete rescans exactly g slots
# gaps swept: 1,2,4,8,16,32,64,128,256,512,1024
# one block = fresh snapshot cold start (untimed) + 4096 best-deletes; 128 blocks per impl/gap; selected impls interleaved per block (same process, same clock)
# impl,gap_ticks,ns_per_delete_best,ns_per_delete_mean,p50,p99,max,blocks
flat,1,2.7466,3.1804,3.0823,4.1504,4.2522,128
bits,1,3.4790,3.7667,3.7739,4.6487,5.3608,128
# sink=0x0000000000000000
flat,2,3.1128,3.3155,3.2451,4.2725,4.5776,128
bits,2,3.9265,4.0338,4.0081,4.6997,4.9539,128
# sink=0x0000000000000000
flat,4,4.0181,4.1311,4.0894,4.9641,6.7039,128
bits,4,4.3030,4.4284,4.3945,5.6965,5.7881,128
# sink=0x0000000000000000
flat,8,5.0251,5.0689,5.0557,5.4729,6.3679,128
bits,8,4.1504,4.3600,4.3232,5.6865,6.9885,128
# sink=0x0000000000000000
flat,16,7.1511,7.3221,7.1919,9.4197,9.5112,128
bits,16,4.5879,4.6517,4.6387,4.7505,5.7476,128
# sink=0x0000000000000000
flat,32,12.5527,12.7729,12.6240,15.9099,17.2527,128
bits,32,5.2896,5.4179,5.3813,7.3037,7.4565,128
# sink=0x0000000000000000
flat,64,18.8091,20.6466,20.4978,23.3254,23.3865,128
bits,64,4.8015,5.2349,5.1677,6.7749,9.0332,128
# sink=0x0000000000000000
flat,128,40.2427,43.8548,43.3960,48.7976,49.2351,128
bits,128,5.1270,5.6306,5.5339,7.0801,7.3447,128
# sink=0x0000000000000000
flat,256,83.1501,84.2616,83.4758,92.3359,95.2454,128
bits,256,5.8389,6.0728,6.0830,6.5815,6.6021,128
# sink=0x0000000000000000
flat,512,142.9749,156.5241,154.8462,184.7332,190.9993,128
bits,512,6.0220,7.3579,7.0293,10.5796,18.1885,128
# sink=0x0000000000000000
flat,1024,275.9197,302.2105,299.7639,346.7510,372.5281,128
bits,1024,9.4604,10.3184,10.1216,12.1460,12.2986,128
# sink=0x0000000000000000
