# orderbook_gap_bench - controlled best-delete gap sweep (linear re-scan vs hierarchical occupancy lookup)
# ladder per row: K+1=4097 ask levels g ticks apart (floor survives); every timed delete rescans exactly g slots
# gaps swept: 1024,512,256,128,64,32,16,8,4,2,1
# one block = fresh snapshot cold start (untimed) + 4096 best-deletes; 128 blocks per impl/gap; selected impls interleaved per block (same process, same clock)
# impl,gap_ticks,ns_per_delete_best,ns_per_delete_mean,p50,p99,max,blocks
flat,1024,278.9509,301.9358,299.0925,333.5674,397.8982,128
bits,1024,9.6130,10.5210,10.2742,16.1438,25.1873,128
# sink=0x0000000000000000
flat,512,144.7957,159.7250,157.3792,182.9731,220.9065,128
bits,512,6.5105,7.5799,7.3953,9.7251,11.7390,128
# sink=0x0000000000000000
flat,256,77.9724,85.8835,84.9712,102.5898,103.1697,128
bits,256,5.5137,6.1913,5.9712,8.1687,9.2773,128
# sink=0x0000000000000000
flat,128,43.4060,44.0671,43.6299,49.5811,50.3948,128
bits,128,5.4119,5.5620,5.5134,6.9377,8.0466,128
# sink=0x0000000000000000
flat,64,20.1924,20.5456,20.3044,23.3662,23.5291,128
bits,64,5.1372,5.2093,5.1780,6.0527,6.1646,128
# sink=0x0000000000000000
flat,32,11.7290,12.0280,11.9221,15.1062,15.8589,128
bits,32,5.2590,5.4309,5.4321,6.4900,6.7952,128
# sink=0x0000000000000000
flat,16,7.4055,7.4909,7.4260,9.1045,9.6638,128
bits,16,4.8928,5.0131,4.9946,5.1575,6.5815,128
# sink=0x0000000000000000
flat,8,5.2998,5.4448,5.4119,6.8767,6.8970,128
bits,8,4.5979,4.7035,4.6897,5.4119,5.7781,128
# sink=0x0000000000000000
flat,4,4.1504,4.7029,4.7812,5.3303,6.2156,128
bits,4,4.0283,4.5319,4.3843,6.1545,22.6543,128
# sink=0x0000000000000000
flat,2,2.9602,3.4055,3.2859,4.4148,4.7913,128
bits,2,3.6621,4.1781,4.0181,5.3916,9.2468,128
# sink=0x0000000000000000
flat,1,2.9807,3.7011,3.4690,6.0220,6.2156,128
bits,1,3.7537,4.0045,3.8757,5.0557,5.0557,128
# sink=0x0000000000000000
