# orderbook_gap_bench - controlled best-delete gap sweep (linear re-scan vs hierarchical occupancy lookup)
# ladder per row: K+1=4097 ask levels g ticks apart (floor survives); every timed delete rescans exactly g slots
# gaps swept: 1,2,4,8,16,32,64,128,256,512,1024
# one block = fresh snapshot cold start (untimed) + 4096 best-deletes; 128 blocks per impl/gap; selected impls interleaved per block (same process, same clock)
# impl,gap_ticks,ns_per_delete_best,ns_per_delete_mean,p50,p99,max,blocks
flat,1,2.6245,3.0952,2.9602,4.1199,4.4250,128
bits,1,3.4790,3.8961,3.8860,5.0151,5.0964,128
# sink=0x0000000000000000
flat,2,3.1128,3.2887,3.2449,3.8960,3.9470,128
bits,2,4.0283,4.1182,4.1096,4.4963,4.6897,128
# sink=0x0000000000000000
flat,4,4.0181,4.1967,4.1299,5.3303,8.4736,128
bits,4,4.3030,4.4736,4.4250,5.7476,5.7781,128
# sink=0x0000000000000000
flat,8,5.0251,5.1040,5.0457,6.5918,6.7341,128
bits,8,4.1909,4.3710,4.3438,5.2288,5.6863,128
# sink=0x0000000000000000
flat,16,7.9346,8.0918,8.0566,8.8501,10.1013,128
bits,16,4.5674,4.7001,4.6592,6.1035,6.3374,128
# sink=0x0000000000000000
flat,32,11.0371,12.5844,12.6750,14.8621,16.1541,128
bits,32,5.0049,5.5149,5.5032,6.7646,6.8562,128
# sink=0x0000000000000000
flat,64,20.1516,20.4578,20.2026,22.7356,23.3357,128
bits,64,5.1372,5.2924,5.1880,6.6426,7.5073,128
# sink=0x0000000000000000
flat,128,40.1306,43.9295,43.4265,55.5420,56.7424,128
bits,128,5.1270,5.5884,5.5645,7.1816,7.4055,128
# sink=0x0000000000000000
flat,256,79.8442,86.2598,84.8796,99.1313,111.4197,128
bits,256,5.4829,6.3213,6.1340,8.4941,9.9182,128
# sink=0x0000000000000000
flat,512,144.4297,159.7605,159.8816,168.6401,171.8240,128
bits,512,6.3274,7.3848,7.2734,9.1553,9.2773,128
# sink=0x0000000000000000
flat,1024,274.0986,299.4313,297.6890,326.1819,399.3022,128
bits,1024,9.3181,10.0848,9.9282,12.4004,13.1123,128
# sink=0x0000000000000000
