# orderbook_gap_bench - controlled best-delete gap sweep (linear re-scan vs hierarchical occupancy lookup)
# ladder per row: K+1=4097 ask levels g ticks apart (floor survives); every timed delete rescans exactly g slots
# gaps swept: 1024,512,256,128,64,32,16,8,4,2,1
# one block = fresh snapshot cold start (untimed) + 4096 best-deletes; 128 blocks per impl/gap; selected impls interleaved per block (same process, same clock)
# impl,gap_ticks,ns_per_delete_best,ns_per_delete_mean,p50,p99,max,blocks
flat,1024,276.2246,299.3659,297.9026,317.4541,341.2576,128
bits,1024,9.5215,10.3013,10.2031,11.7493,15.2383,128
# sink=0x0000000000000000
flat,512,143.8801,155.6191,155.0090,170.8577,185.6079,128
bits,512,6.3071,7.1710,7.1411,8.5652,8.8298,128
# sink=0x0000000000000000
flat,256,83.0586,83.9742,83.6689,88.8164,94.5740,128
bits,256,5.8086,5.9171,5.9001,6.2561,6.3477,128
# sink=0x0000000000000000
flat,128,43.1113,43.6954,43.3145,46.5698,47.7090,128
bits,128,5.4932,5.6128,5.5542,6.5308,6.5408,128
# sink=0x0000000000000000
flat,64,18.8396,21.1569,20.3655,33.0608,39.8154,128
bits,64,4.8115,5.3283,5.2083,6.8665,7.1614,128
# sink=0x0000000000000000
flat,32,10.9456,12.8543,12.4004,19.8464,32.8369,128
bits,32,4.9133,5.7213,5.6255,7.1819,11.9019,128
# sink=0x0000000000000000
flat,16,7.4055,7.5730,7.4871,8.6467,8.8806,128
bits,16,4.5776,4.7120,4.6387,5.9712,6.1138,128
# sink=0x0000000000000000
flat,8,5.0151,5.3969,5.1677,6.6833,7.1208,128
bits,8,4.2012,4.6062,4.4148,5.6863,7.0903,128
# sink=0x0000000000000000
flat,4,4.1299,4.2670,4.2317,4.5369,4.5776,128
bits,4,4.2825,4.3961,4.3743,5.2185,5.4016,128
# sink=0x0000000000000000
flat,2,3.1433,3.3266,3.2756,4.1912,4.2014,128
bits,2,3.9978,4.1359,4.0691,5.1370,5.3813,128
# sink=0x0000000000000000
flat,1,2.9094,3.2678,3.0923,4.3845,4.6692,128
bits,1,3.7842,3.8793,3.8552,4.5266,4.9744,128
# sink=0x0000000000000000
