# Experiment 02 Phase 3B — per-process summary, ALL measured repetitions pooled
# DERIVED from raw/, never re-measured. PRIMARY comparison is PAIRED_COMPARISON.md.
# ns_per_message mean is over every measured repetition of that process;
# median/min/max are the process's own summary values, re-verified against raw/.
# producer_full_retries / consumer_empty_retries are recorded because this cell
# shape is bimodal on the development host: they reveal WHICH REGIME a process
# ran in. A process with a huge consumer_empty_retries is one where the consumer
# spun on an empty queue rather than blocking on real handoffs.
# measurement_mode=performance for every row here; remote loads are 0 by construction.
session,impl,message_bytes,capacity,object_size,payload_offset,median_ns_per_message,min_ns_per_message,max_ns_per_message,spread_pct,producer_full_retries_total,consumer_empty_retries_total,aspect_ratio
3,baseline,64,65536,4194560,256,43.991125,43.380437,45.303221,4.432,156268423,1166,134020.9460
3,cached,64,65536,4194560,256,69.968775,68.043754,72.030304,5.859,330934437,1522,217433.9271
4,baseline,8,1024,8448,256,40.749938,37.848904,43.021129,13.665,4652554,367754003,0.0127
4,cached,8,1024,8448,256,43.247279,36.722979,46.778962,27.383,17361378,262177979,0.0662
4,baseline,8,4096,33024,256,47.945746,28.173046,51.418192,82.508,3623228,416617231,0.0087
4,cached,8,4096,33024,256,50.125267,49.170671,52.195396,6.151,283695,366404684,0.0008
4,baseline,8,65536,524544,256,59.210375,49.348325,63.446604,28.569,1024,688303832,0.0000
4,cached,8,65536,524544,256,66.676992,64.352279,74.907079,16.402,0,565025451,0.0000
4,baseline,32,1024,33024,256,45.747996,43.914008,48.126304,9.592,5221445,397935838,0.0131
4,cached,32,1024,33024,256,49.614096,45.882717,57.378558,25.055,7651331,452281454,0.0169
4,baseline,32,4096,131328,256,60.054096,54.339733,66.193200,21.814,2864,773274970,0.0000
4,cached,32,4096,131328,256,62.978887,58.837017,65.197262,10.810,16736,574948516,0.0000
4,baseline,32,65536,2097408,256,71.766425,66.086804,73.229396,10.808,0,1028097967,0.0000
4,cached,32,65536,2097408,256,70.451942,65.468812,74.271537,13.446,214722,831889553,0.0003
4,baseline,64,1024,65792,256,53.073696,50.073000,55.119100,10.077,244532249,57726272,4.2361
4,cached,64,1024,65792,256,67.498967,63.946267,69.280446,8.342,322161378,70971,4539.3383
4,baseline,64,4096,262400,256,47.602913,46.159329,48.510725,5.094,210322059,6347,33137.2395
4,cached,64,4096,262400,256,68.974179,66.502604,70.594254,6.153,351384973,2423,145020.6244
4,baseline,64,65536,4194560,256,43.876371,42.789412,45.489958,6.311,165644072,3544,46739.2980
4,cached,64,65536,4194560,256,66.619788,63.829504,68.779792,7.755,335240139,3078,108914.9250
