# Experiment 02 Phase 3B raw repetitions — ONE implementation per process.
# ns_per_message = END-TO-END elapsed_ns / messages delivered (NOT a per-call latency, NOT one-way handoff).
# The ONE implementation treatment is HOW OFTEN each thread reads the opposite thread's cursor. Cursor placement is the
# verified SEPARATED layout in BOTH variants, and both variants have the same object_size and payload_offset.
# measurement_mode=performance means no hot-path counting was compiled in; remote_load columns are 0 and instrumented=0.
# measurement_mode=mechanism means the counters were live; a throughput number from those rows is NOT the canonical result.
# remote loads are ORDINARY THREAD-OWNED counters, read after both threads joined — never global atomics on the hot path.
# The cursor/cached addresses and line indices below were measured on the SAME object this repetition timed,
# OUTSIDE the timed interval. layout_ok=PASS means the measured placement matched the claim; cached_placement_ok=PASS means
# each cached remote cursor sat on its OWN owner's line and not on the remote cursor's line.
# All 3 measured repetitions are present; 1 warm-up repetition(s) are excluded from every published figure.
rep,measurement_mode,impl,message_bytes,capacity,message_count,elapsed_ns,ns_per_message,messages_per_second,producer_full_retries,consumer_empty_retries,checksum,correctness,instrumented,producer_remote_tail_loads,consumer_remote_head_loads,producer_remote_tail_loads_per_message,consumer_remote_head_loads_per_message,reported_cache_line_size,head_addr,tail_addr,head_line,tail_line,cursors_same_line,layout_ok,cached_tail_addr,cached_head_addr,cached_tail_line,cached_head_line,cached_placement_ok,object_addr,object_size,payload_offset,payload_begin_addr
0,mechanism,cached,8,4096,10000000,517112542,51.711254,19338150.185,2527,63745349,10519384496848615539,PASS,1,5161,71918965,0.000516100,7.191896500,128,5100306432,5100306560,39846144,39846145,no,PASS,5100306440,5100306568,39846144,39846145,PASS,5100306432,33024,256,5100306688
1,mechanism,cached,8,4096,10000000,533817000,53.381700,18733011.500,47105,65896982,10519384496848615539,PASS,1,52252,73841506,0.005225200,7.384150600,128,5100306432,5100306560,39846144,39846145,no,PASS,5100306440,5100306568,39846144,39846145,PASS,5100306432,33024,256,5100306688
2,mechanism,cached,8,4096,10000000,474694500,47.469450,21066180.459,382286,69567384,10519384496848615539,PASS,1,480995,77015814,0.048099500,7.701581400,128,5100306432,5100306560,39846144,39846145,no,PASS,5100306440,5100306568,39846144,39846145,PASS,5100306432,33024,256,5100306688
