# Experiment 02 Phase 4 — PER-REPETITION LATENCY SUMMARY.
# One row per MEASURED repetition. The warm-up repetition is not summarized here at all.
# Percentiles are nearest-rank on the observed samples: index(p) = ceil(p*N) - 1.
# P99.99 is deliberately not reported. No pooled distribution is produced.
# ns_per_message = elapsed_ns / messages delivered: an END-TO-END rate over the whole
# repetition, NOT a latency, and NOT comparable with Phase-2/3 absolute values.
# expected_samples = (messages - settling_prefix) / sample_interval; a row whose
# sample_count differs from it is a FAILURE, not a smaller dataset.
# queue=SpscSeparatedBaselineRingBuffer session=1 message_bytes=64 capacity=1024 messages=10000000 settling_prefix=100000 sample_interval=1021 warmup_reps=1 measured_reps=5
session,message_bytes,capacity,repetition,status,expected_samples,sample_count,min_ns,mean_ns,p50_ns,p90_ns,p99_ns,p999_ns,max_ns,elapsed_ns,ns_per_message,delivered,producer_full_retries,consumer_empty_retries,checksum,sequence_ok,correctness
1,64,1024,1,PASS,9696,9696,41,20198.695,417,73792,82250,91583,104166,530763917,53.076392,10000000,917691,51573332,11631761381637613921,1,PASS
1,64,1024,2,PASS,9696,9696,41,10794.858,125,34209,78458,88333,98083,490419792,49.041979,10000000,442444,65603929,11631761381637613921,1,PASS
1,64,1024,3,PASS,9696,9696,41,11365.392,125,34500,78083,84958,107958,486403458,48.640346,10000000,321588,62993342,11631761381637613921,1,PASS
1,64,1024,4,PASS,9696,9696,41,17659.248,291,73083,80542,90500,112875,524428291,52.442829,10000000,563622,53091205,11631761381637613921,1,PASS
1,64,1024,5,PASS,9696,9696,41,15853.880,125,71125,82167,88500,98666,518926417,51.892642,10000000,433637,56720594,11631761381637613921,1,PASS
