# Experiment 02 Phase 4 — PER-REPETITION LATENCY SUMMARY.
# One row per MEASURED repetition. The warm-up repetition is not summarized here at all.
# Percentiles are nearest-rank on the observed samples: index(p) = ceil(p*N) - 1.
# P99.99 is deliberately not reported. No pooled distribution is produced.
# ns_per_message = elapsed_ns / messages delivered: an END-TO-END rate over the whole
# repetition, NOT a latency, and NOT comparable with Phase-2/3 absolute values.
# expected_samples = (messages - settling_prefix) / sample_interval; a row whose
# sample_count differs from it is a FAILURE, not a smaller dataset.
# queue=SpscSeparatedBaselineRingBuffer session=3 message_bytes=16 capacity=1024 messages=10000000 settling_prefix=100000 sample_interval=1021 warmup_reps=1 measured_reps=5
session,message_bytes,capacity,repetition,status,expected_samples,sample_count,min_ns,mean_ns,p50_ns,p90_ns,p99_ns,p999_ns,max_ns,elapsed_ns,ns_per_message,delivered,producer_full_retries,consumer_empty_retries,checksum,sequence_ok,correctness
3,16,1024,1,PASS,9696,9696,41,10311.265,125,49084,54917,62583,85666,487169125,48.716912,10000000,549286,76400157,4046696471198022735,1,PASS
3,16,1024,2,PASS,9696,9696,41,15017.404,125,49167,53500,64833,86458,520471709,52.047171,10000000,547315,86101213,4046696471198022735,1,PASS
3,16,1024,3,PASS,9696,9696,41,10815.957,125,47833,52875,57500,63250,500202750,50.020275,10000000,287313,71974756,4046696471198022735,1,PASS
3,16,1024,4,PASS,9696,9696,41,10398.576,125,47000,52958,61667,93458,494436541,49.443654,10000000,665057,68749824,4046696471198022735,1,PASS
3,16,1024,5,PASS,9696,9696,41,12745.861,125,50625,57166,68833,142209,516068208,51.606821,10000000,1302777,70339285,4046696471198022735,1,PASS
