# Experiment 02 Phase 4 — PER-REPETITION LATENCY SUMMARY.
# One row per MEASURED repetition. The warm-up repetition is not summarized here at all.
# Percentiles are nearest-rank on the observed samples: index(p) = ceil(p*N) - 1.
# P99.99 is deliberately not reported. No pooled distribution is produced.
# ns_per_message = elapsed_ns / messages delivered: an END-TO-END rate over the whole
# repetition, NOT a latency, and NOT comparable with Phase-2/3 absolute values.
# expected_samples = (messages - settling_prefix) / sample_interval; a row whose
# sample_count differs from it is a FAILURE, not a smaller dataset.
# queue=SpscSeparatedBaselineRingBuffer session=2 message_bytes=64 capacity=4096 messages=10000000 settling_prefix=100000 sample_interval=1021 warmup_reps=1 measured_reps=5
# producer_sample_clock_reads and consumer_sample_clock_reads are the PROOF that
# the timestamp instrumentation is SPARSE: they count actual Clock::now() calls made
# for sampled messages only, and each must equal expected_samples. A harness that
# timestamped every message would report ~messages here and FAIL.
session,message_bytes,capacity,repetition,status,expected_samples,sample_count,producer_sample_clock_reads,consumer_sample_clock_reads,stamp_contract_failures,min_ns,mean_ns,p50_ns,p90_ns,p99_ns,p999_ns,max_ns,elapsed_ns,ns_per_message,delivered,producer_full_retries,consumer_empty_retries,checksum,sequence_ok,correctness
2,64,4096,1,PASS,9696,9696,9696,9696,0,2334,141048.407,127000,134500,470083,661042,691542,345670833,34.567083,10000000,3160683,4096,11994829604211037648,1,PASS
2,64,4096,2,PASS,9696,9696,9696,9696,0,86417,137593.958,127333,144667,292000,334042,388125,336932583,33.693258,10000000,4818900,20,11994829604211037648,1,PASS
2,64,4096,3,PASS,9696,9696,9696,9696,0,19333,125380.406,116459,129750,268542,547375,680625,310751667,31.075167,10000000,4005332,115553,11994829604211037648,1,PASS
2,64,4096,4,PASS,9696,9696,9696,9696,0,105541,122654.050,116459,125959,282458,351750,431417,300438958,30.043896,10000000,5000487,1789,11994829604211037648,1,PASS
2,64,4096,5,PASS,9696,9696,9696,9696,0,100833,117459.054,116125,121042,135875,150375,252458,287724625,28.772462,10000000,2188006,1165,11994829604211037648,1,PASS
