# Experiment 02 Phase 4 — PER-REPETITION LATENCY SUMMARY.
# One row per MEASURED repetition. The warm-up repetition is not summarized here at all.
# Percentiles are nearest-rank on the observed samples: index(p) = ceil(p*N) - 1.
# P99.99 is deliberately not reported. No pooled distribution is produced.
# ns_per_message = elapsed_ns / messages delivered: an END-TO-END rate over the whole
# repetition, NOT a latency, and NOT comparable with Phase-2/3 absolute values.
# expected_samples = (messages - settling_prefix) / sample_interval; a row whose
# sample_count differs from it is a FAILURE, not a smaller dataset.
# queue=SpscSeparatedBaselineRingBuffer session=2 message_bytes=16 capacity=65536 messages=10000000 settling_prefix=100000 sample_interval=1021 warmup_reps=1 measured_reps=5
# producer_sample_clock_reads and consumer_sample_clock_reads are the PROOF that
# the timestamp instrumentation is SPARSE: they count actual Clock::now() calls made
# for sampled messages only, and each must equal expected_samples. A harness that
# timestamped every message would report ~messages here and FAIL.
session,message_bytes,capacity,repetition,status,expected_samples,sample_count,producer_sample_clock_reads,consumer_sample_clock_reads,stamp_contract_failures,min_ns,mean_ns,p50_ns,p90_ns,p99_ns,p999_ns,max_ns,elapsed_ns,ns_per_message,delivered,producer_full_retries,consumer_empty_retries,checksum,sequence_ok,correctness
2,16,65536,1,PASS,9696,9696,9696,9696,0,42,124.438,125,125,250,792,3541,353319625,35.331963,10000000,0,80027181,10519384496848615539,1,PASS
2,16,65536,2,PASS,9696,9696,9696,9696,0,41,197.710,125,167,875,10666,33541,405264208,40.526421,10000000,0,97952794,10519384496848615539,1,PASS
2,16,65536,3,PASS,9696,9696,9696,9696,0,41,141.157,125,125,541,5459,10375,356535459,35.653546,10000000,0,91858186,10519384496848615539,1,PASS
2,16,65536,4,PASS,9696,9696,9696,9696,0,83,160.784,125,125,750,7666,30542,378243750,37.824375,10000000,0,89042834,10519384496848615539,1,PASS
2,16,65536,5,PASS,9696,9696,9696,9696,0,42,141.486,125,125,458,6375,36500,352769417,35.276942,10000000,0,91433473,10519384496848615539,1,PASS
