# Experiment 02 Phase 4 — PER-REPETITION LATENCY SUMMARY.
# One row per MEASURED repetition. The warm-up repetition is not summarized here at all.
# Percentiles are nearest-rank on the observed samples: index(p) = ceil(p*N) - 1.
# P99.99 is deliberately not reported. No pooled distribution is produced.
# ns_per_message = elapsed_ns / messages delivered: an END-TO-END rate over the whole
# repetition, NOT a latency, and NOT comparable with Phase-2/3 absolute values.
# expected_samples = (messages - settling_prefix) / sample_interval; a row whose
# sample_count differs from it is a FAILURE, not a smaller dataset.
# queue=SpscSeparatedBaselineRingBuffer session=1 message_bytes=64 capacity=4096 messages=10000000 settling_prefix=100000 sample_interval=1021 warmup_reps=1 measured_reps=5
# producer_sample_clock_reads and consumer_sample_clock_reads are the PROOF that
# the timestamp instrumentation is SPARSE: they count actual Clock::now() calls made
# for sampled messages only, and each must equal expected_samples. A harness that
# timestamped every message would report ~messages here and FAIL.
session,message_bytes,capacity,repetition,status,expected_samples,sample_count,producer_sample_clock_reads,consumer_sample_clock_reads,stamp_contract_failures,min_ns,mean_ns,p50_ns,p90_ns,p99_ns,p999_ns,max_ns,elapsed_ns,ns_per_message,delivered,producer_full_retries,consumer_empty_retries,checksum,sequence_ok,correctness
1,64,4096,1,PASS,9696,9696,9696,9696,0,111000,119155.750,116875,127375,141417,297417,336667,291770417,29.177042,10000000,4158582,27,11994829604211037648,1,PASS
1,64,4096,2,PASS,9696,9696,9696,9696,0,96584,125689.468,116875,128125,276209,371166,647916,308019125,30.801913,10000000,3618187,1064,11994829604211037648,1,PASS
1,64,4096,3,PASS,9696,9696,9696,9696,0,112959,126050.809,116916,127125,426500,612334,649167,308673417,30.867342,10000000,3530268,0,11994829604211037648,1,PASS
1,64,4096,4,PASS,9696,9696,9696,9696,0,103417,125403.349,116667,130250,319583,497583,547333,307075708,30.707571,10000000,2986121,4,11994829604211037648,1,PASS
1,64,4096,5,PASS,9696,9696,9696,9696,0,108791,118211.427,116417,126583,140708,159292,213500,289454875,28.945487,10000000,4109727,0,11994829604211037648,1,PASS
