# Experiment 02 Phase 4 — PER-REPETITION LATENCY SUMMARY.
# One row per MEASURED repetition. The warm-up repetition is not summarized here at all.
# Percentiles are nearest-rank on the observed samples: index(p) = ceil(p*N) - 1.
# P99.99 is deliberately not reported. No pooled distribution is produced.
# ns_per_message = elapsed_ns / messages delivered: an END-TO-END rate over the whole
# repetition, NOT a latency, and NOT comparable with Phase-2/3 absolute values.
# expected_samples = (messages - settling_prefix) / sample_interval; a row whose
# sample_count differs from it is a FAILURE, not a smaller dataset.
# queue=SpscSeparatedBaselineRingBuffer session=2 message_bytes=64 capacity=65536 messages=10000000 settling_prefix=100000 sample_interval=1021 warmup_reps=1 measured_reps=5
# producer_sample_clock_reads and consumer_sample_clock_reads are the PROOF that
# the timestamp instrumentation is SPARSE: they count actual Clock::now() calls made
# for sampled messages only, and each must equal expected_samples. A harness that
# timestamped every message would report ~messages here and FAIL.
session,message_bytes,capacity,repetition,status,expected_samples,sample_count,producer_sample_clock_reads,consumer_sample_clock_reads,stamp_contract_failures,min_ns,mean_ns,p50_ns,p90_ns,p99_ns,p999_ns,max_ns,elapsed_ns,ns_per_message,delivered,producer_full_retries,consumer_empty_retries,checksum,sequence_ok,correctness
2,64,65536,1,PASS,9696,9696,9696,9696,0,1565875,1952400.696,1913583,1998667,3061125,3749792,3771416,297811583,29.781158,10000000,1208479,0,11994829604211037648,1,PASS
2,64,65536,2,PASS,9696,9696,9696,9696,0,1631667,1961262.385,1875083,2052584,3423292,3954542,3969541,299133958,29.913396,10000000,1165690,515,11994829604211037648,1,PASS
2,64,65536,3,PASS,9696,9696,9696,9696,0,1519000,2091672.373,1918625,2729541,3823542,4011292,4117083,318920625,31.892063,10000000,1820907,1240,11994829604211037648,1,PASS
2,64,65536,4,PASS,9696,9696,9696,9696,0,1524458,2052335.830,1877250,2625208,4009917,4098792,4129084,312860959,31.286096,10000000,1247020,2172,11994829604211037648,1,PASS
2,64,65536,5,PASS,9696,9696,9696,9696,0,535583,2098968.394,2036625,2128084,3564125,3704833,3844125,320487417,32.048742,10000000,1278832,0,11994829604211037648,1,PASS
