# Experiment 02 Phase 3A raw repetitions — ONE implementation per process.
# ns_per_message = END-TO-END elapsed_ns / messages delivered (NOT a per-call latency, NOT one-way handoff).
# The cursor addresses/line indices below were measured on the SAME object this repetition timed,
# OUTSIDE the timed interval. layout_ok=PASS means the measured placement matched the claim.
# All 5 measured repetitions are present; 1 warm-up repetition(s) are excluded from every published figure.
rep,impl,message_bytes,capacity,message_count,elapsed_ns,ns_per_message,messages_per_second,producer_full_retries,consumer_empty_retries,checksum,correctness,reported_cache_line_size,head_addr,tail_addr,head_line,tail_line,cursors_same_line,layout_ok
0,same_line,64,1024,10000000,323383167,32.338317,30923069.042,7277310,9162657,8986780111068692703,PASS,128,4966088704,4966088712,38797568,38797568,yes,PASS
1,same_line,64,1024,10000000,317729750,31.772975,31473288.227,2248014,10699925,8986780111068692703,PASS,128,4697653248,4697653256,36700416,36700416,yes,PASS
2,same_line,64,1024,10000000,320159375,32.015937,31234443.783,1801136,10307638,8986780111068692703,PASS,128,4966088704,4966088712,38797568,38797568,yes,PASS
3,same_line,64,1024,10000000,344649291,34.464929,29015002.384,1860418,11236094,8986780111068692703,PASS,128,4831870976,4831870984,37748992,37748992,yes,PASS
4,same_line,64,1024,10000000,298045750,29.804575,33551895.976,3736161,10176577,8986780111068692703,PASS,128,4429217792,4429217800,34603264,34603264,yes,PASS
