# Experiment 02 Phase 2 raw repetitions — ONE implementation per process.
# ns_per_message = END-TO-END elapsed_ns / messages delivered (NOT a per-call latency, NOT one-way handoff).
# All 5 measured repetitions are present; 1 untimed warm-up repetition(s) are excluded.
rep,impl,message_bytes,capacity,message_count,elapsed_ns,ns_per_message,messages_per_second,producer_full_retries,consumer_empty_retries,checksum,correctness
0,mutex,64,65536,10000000,302824417,30.282442,33022436.232,809984,113735,8986780111068692703,PASS
1,mutex,64,65536,10000000,242278709,24.227871,41274778.297,641107,200881,8986780111068692703,PASS
2,mutex,64,65536,10000000,244317375,24.431738,40930367.724,780288,108955,8986780111068692703,PASS
3,mutex,64,65536,10000000,286319375,28.631937,34926033.210,721287,188669,8986780111068692703,PASS
4,mutex,64,65536,10000000,253667458,25.366746,39421690.424,1324380,87112,8986780111068692703,PASS
