# Phase 4 raw batch samples. batch-normalized ns/update = elapsed_ns / batch_operations (a batch average, NOT a directly
# measured single-update latency). batch_operations is the ACTUAL op count of the batch: batch_size for every row except
# the final row when updates % batch_size is nonzero (a partial batch, which is EXCLUDED from the percentile
# distribution in the summary).
# impl=flat wl=A levels=1000000 updates=10000000 batch_size=512 seed=407715774446 partial_rows=1
sample_index,batch_operations,elapsed_ns,normalized_ns_per_update
248,512,2000,3.906250
249,512,2083,4.068359
250,512,2083,4.068359
251,512,2000,3.906250
252,512,2000,3.906250
253,512,2000,3.906250
254,512,2000,3.906250
255,512,2042,3.988281
256,512,2000,3.906250
257,512,1958,3.824219
258,512,1958,3.824219
259,512,2042,3.988281
260,512,2000,3.906250
261,512,2042,3.988281
262,512,2125,4.150391
263,512,2166,4.230469
264,512,2000,3.906250
265,512,1958,3.824219
266,512,2042,3.988281
267,512,2125,4.150391
268,512,2041,3.986328
269,512,2000,3.906250
270,512,1917,3.744141
271,512,2000,3.906250
272,512,2084,4.070312
273,512,2000,3.906250
274,512,2000,3.906250
275,512,2041,3.986328
276,512,2042,3.988281
277,512,2000,3.906250
278,512,2041,3.986328
279,512,2084,4.070312
280,512,2083,4.068359
281,512,1958,3.824219
282,512,1958,3.824219
283,512,2000,3.906250
284,512,2042,3.988281
285,512,2083,4.068359
286,512,2000,3.906250
287,512,2000,3.906250
288,512,2083,4.068359
289,512,2000,3.906250
290,512,2042,3.988281
291,512,2083,4.068359
292,512,2000,3.906250
293,512,2041,3.986328
294,512,1959,3.826172
295,512,2041,3.986328
296,512,2042,3.988281
297,512,1958,3.824219
298,512,2000,3.906250
299,512,2042,3.988281
300,512,2083,4.068359
301,512,2000,3.906250
302,512,1916,3.742188
303,512,2042,3.988281
304,512,2041,3.986328
305,512,2083,4.068359
306,512,1958,3.824219
307,512,2125,4.150391
308,512,2042,3.988281
309,512,2000,3.906250
310,512,2000,3.906250
311,512,2000,3.906250
312,512,1959,3.826172
313,512,2041,3.986328
314,512,2042,3.988281
315,512,2000,3.906250
316,512,2041,3.986328
317,512,1917,3.744141
318,512,2084,4.070312
319,512,1959,3.826172
320,512,4791,9.357422
321,512,2000,3.906250
322,512,2042,3.988281
323,512,1958,3.824219
324,512,2042,3.988281
325,512,2083,4.068359
326,512,1917,3.744141
327,512,2083,4.068359
328,512,2042,3.988281
329,512,1958,3.824219
330,512,2000,3.906250
331,512,2000,3.906250
332,512,2000,3.906250
333,512,1958,3.824219
334,512,2041,3.986328
335,512,1917,3.744141
336,512,1958,3.824219
337,512,1958,3.824219
338,512,2000,3.906250
339,512,2041,3.986328
340,512,2000,3.906250
341,512,1958,3.824219
342,512,2042,3.988281
343,512,1958,3.824219
344,512,2000,3.906250
345,512,2084,4.070312
346,512,2041,3.986328
347,512,2000,3.906250
348,512,1958,3.824219
349,512,2000,3.906250
350,512,2042,3.988281
351,512,2125,4.150391
352,512,2125,4.150391
353,512,1959,3.826172
354,512,1958,3.824219
355,512,2000,3.906250
356,512,2125,4.150391
357,512,2000,3.906250
358,512,2042,3.988281
359,512,2042,3.988281
360,512,1959,3.826172
361,512,2000,3.906250
362,512,1958,3.824219
363,512,1958,3.824219
364,512,2083,4.068359
365,512,2084,4.070312
366,512,2208,4.312500
367,512,2000,3.906250
368,512,2041,3.986328
369,512,2042,3.988281
370,512,2000,3.906250
371,512,2083,4.068359
372,512,1959,3.826172
373,512,2041,3.986328
374,512,2125,4.150391
375,512,2000,3.906250
376,512,2042,3.988281
377,512,1958,3.824219
378,512,2042,3.988281
379,512,2041,3.986328
380,512,2000,3.906250
381,512,1959,3.826172
382,512,2041,3.986328
383,512,2000,3.906250
384,512,2208,4.312500
385,512,2042,3.988281
386,512,2000,3.906250
387,512,2041,3.986328
388,512,1917,3.744141
389,512,2000,3.906250
390,512,2125,4.150391
391,512,2000,3.906250
392,512,1958,3.824219
393,512,2042,3.988281
394,512,2041,3.986328
395,512,2000,3.906250
396,512,2042,3.988281
397,512,1958,3.824219
398,512,2083,4.068359
399,512,1959,3.826172
400,512,2000,3.906250
401,512,1959,3.826172
402,512,2000,3.906250
403,512,2000,3.906250
404,512,1917,3.744141
405,512,2041,3.986328
406,512,2000,3.906250
407,512,2042,3.988281
408,512,2000,3.906250
409,512,2000,3.906250
410,512,2125,4.150391
411,512,2042,3.988281
412,512,2000,3.906250
413,512,1959,3.826172
414,512,1875,3.662109
415,512,2000,3.906250
416,512,2000,3.906250
417,512,2000,3.906250
418,512,2084,4.070312
419,512,2000,3.906250
420,512,2041,3.986328
421,512,1959,3.826172
422,512,2000,3.906250
423,512,2083,4.068359
424,512,1958,3.824219
425,512,2000,3.906250
426,512,2083,4.068359
427,512,1958,3.824219
428,512,2000,3.906250
429,512,2042,3.988281
430,512,2000,3.906250
431,512,2125,4.150391
432,512,2000,3.906250
433,512,2042,3.988281
434,512,2041,3.986328
435,512,2000,3.906250
436,512,2000,3.906250
437,512,2083,4.068359
438,512,1959,3.826172
439,512,2084,4.070312
440,512,2041,3.986328
441,512,2084,4.070312
442,512,2000,3.906250
443,512,2000,3.906250
444,512,2083,4.068359
445,512,2000,3.906250
446,512,2125,4.150391
447,512,1958,3.824219
448,512,2042,3.988281
449,512,1958,3.824219
450,512,1958,3.824219
451,512,2042,3.988281
452,512,1917,3.744141
453,512,2042,3.988281
454,512,1959,3.826172
455,512,2000,3.906250
456,512,2000,3.906250
457,512,2166,4.230469
458,512,2000,3.906250
459,512,2000,3.906250
460,512,2042,3.988281
461,512,2042,3.988281
462,512,2000,3.906250
463,512,2166,4.230469
464,512,2042,3.988281
465,512,2083,4.068359
466,512,2125,4.150391
467,512,1958,3.824219
468,512,2083,4.068359
469,512,2000,3.906250
470,512,2000,3.906250
471,512,1958,3.824219
472,512,2041,3.986328
473,512,2125,4.150391
474,512,2084,4.070312
475,512,2042,3.988281
476,512,2042,3.988281
477,512,2000,3.906250
478,512,2083,4.068359
479,512,1958,3.824219
480,512,2000,3.906250
481,512,2125,4.150391
482,512,2000,3.906250
483,512,2041,3.986328
484,512,2167,4.232422
485,512,1833,3.580078
486,512,2000,3.906250
487,512,1958,3.824219
488,512,2083,4.068359
489,512,2042,3.988281
490,512,2041,3.986328
491,512,2084,4.070312
492,512,2083,4.068359
493,512,2083,4.068359
494,512,1916,3.742188
495,512,2042,3.988281
496,512,2000,3.906250
497,512,2083,4.068359
498,512,2000,3.906250
499,512,2041,3.986328
500,512,2084,4.070312
501,512,2000,3.906250
502,512,1917,3.744141
503,512,2042,3.988281
504,512,2084,4.070312
505,512,1916,3.742188
506,512,2000,3.906250
507,512,2000,3.906250
508,512,1958,3.824219
509,512,2000,3.906250
510,512,2083,4.068359
511,512,2083,4.068359
512,512,2083,4.068359
513,512,2125,4.150391
514,512,1958,3.824219
515,512,2042,3.988281
516,512,2042,3.988281
517,512,2166,4.230469
518,512,1959,3.826172
519,512,2083,4.068359
520,512,2083,4.068359
521,512,2083,4.068359
522,512,2041,3.986328
523,512,1917,3.744141
524,512,2042,3.988281
525,512,2083,4.068359
526,512,2042,3.988281
527,512,2042,3.988281
528,512,2000,3.906250
529,512,2041,3.986328
530,512,2000,3.906250
531,512,2125,4.150391
532,512,2000,3.906250
533,512,2083,4.068359
534,512,2209,4.314453
535,512,2000,3.906250
536,512,2042,3.988281
537,512,2125,4.150391
538,512,2042,3.988281
539,512,2042,3.988281
540,512,2042,3.988281
541,512,2000,3.906250
542,512,2042,3.988281
543,512,2000,3.906250
544,512,1916,3.742188
545,512,1958,3.824219
546,512,2084,4.070312
547,512,2125,4.150391
548,512,1917,3.744141
549,512,2083,4.068359
550,512,2000,3.906250
551,512,2042,3.988281
552,512,1959,3.826172
553,512,2000,3.906250
554,512,2042,3.988281
555,512,2208,4.312500
556,512,2000,3.906250
557,512,1959,3.826172
558,512,2083,4.068359
559,512,2042,3.988281
560,512,2125,4.150391
561,512,2000,3.906250
562,512,1959,3.826172
563,512,2041,3.986328
564,512,1917,3.744141
565,512,2042,3.988281
566,512,2000,3.906250
567,512,2041,3.986328
568,512,2042,3.988281
569,512,2000,3.906250
570,512,2042,3.988281
571,512,2083,4.068359
572,512,2000,3.906250
573,512,1916,3.742188
574,512,2042,3.988281
575,512,1958,3.824219
576,512,1958,3.824219
577,512,2125,4.150391
578,512,2042,3.988281
579,512,2041,3.986328
580,512,2042,3.988281
581,512,2042,3.988281
582,512,2042,3.988281
583,512,2041,3.986328
584,512,2042,3.988281
585,512,2083,4.068359
586,512,2042,3.988281
587,512,2042,3.988281
588,512,2041,3.986328
589,512,2042,3.988281
590,512,2042,3.988281
591,512,2166,4.230469
592,512,2125,4.150391
593,512,2042,3.988281
594,512,2042,3.988281
595,512,2042,3.988281
596,512,2041,3.986328
597,512,2042,3.988281
598,512,2042,3.988281
599,512,2125,4.150391
600,512,1958,3.824219
601,512,2083,4.068359
602,512,2042,3.988281
603,512,2000,3.906250
604,512,2041,3.986328
605,512,1959,3.826172
606,512,2083,4.068359
607,512,2042,3.988281
608,512,2041,3.986328
609,512,2042,3.988281
610,512,2041,3.986328
611,512,2084,4.070312
612,512,2042,3.988281
613,512,2042,3.988281
614,512,1958,3.824219
615,512,2000,3.906250
616,512,2000,3.906250
617,512,2125,4.150391
618,512,2083,4.068359
619,512,2084,4.070312
620,512,2041,3.986328
621,512,2042,3.988281
622,512,2000,3.906250
623,512,1958,3.824219
624,512,1916,3.742188
625,512,2084,4.070312
626,512,2166,4.230469
627,512,2000,3.906250
628,512,2083,4.068359
629,512,1917,3.744141
630,512,2000,3.906250
631,512,2042,3.988281
632,512,2042,3.988281
633,512,2000,3.906250
634,512,2083,4.068359
635,512,2000,3.906250
636,512,2042,3.988281
637,512,2000,3.906250
638,512,1959,3.826172
639,512,2167,4.232422
640,512,2125,4.150391
641,512,2167,4.232422
642,512,1958,3.824219
643,512,2042,3.988281
644,512,2042,3.988281
645,512,2042,3.988281
646,512,1958,3.824219
647,512,1958,3.824219
648,512,2042,3.988281
649,512,2000,3.906250
650,512,2041,3.986328
651,512,2000,3.906250
652,512,2041,3.986328
653,512,2042,3.988281
654,512,2042,3.988281
655,512,2042,3.988281
656,512,2000,3.906250
657,512,2041,3.986328
658,512,2084,4.070312
659,512,2000,3.906250
660,512,2042,3.988281
661,512,2042,3.988281
662,512,2000,3.906250
663,512,2000,3.906250
664,512,1958,3.824219
665,512,2084,4.070312
666,512,1958,3.824219
667,512,2083,4.068359
668,512,2125,4.150391
669,512,2083,4.068359
670,512,2042,3.988281
671,512,2041,3.986328
672,512,1959,3.826172
673,512,2042,3.988281
674,512,2083,4.068359
675,512,1959,3.826172
676,512,1959,3.826172
677,512,2125,4.150391
678,512,1958,3.824219
679,512,2041,3.986328
680,512,2083,4.068359
681,512,2042,3.988281
682,512,2041,3.986328
683,512,2042,3.988281
684,512,2083,4.068359
685,512,2083,4.068359
686,512,2000,3.906250
687,512,2000,3.906250
688,512,2041,3.986328
689,512,2167,4.232422
690,512,2042,3.988281
691,512,2000,3.906250
692,512,2042,3.988281
693,512,2042,3.988281
694,512,2000,3.906250
695,512,1958,3.824219
696,512,2000,3.906250
697,512,2000,3.906250
698,512,2208,4.312500
699,512,2042,3.988281
700,512,2041,3.986328
701,512,2042,3.988281
702,512,2042,3.988281
703,512,2042,3.988281
704,512,2000,3.906250
705,512,2041,3.986328
706,512,2083,4.068359
707,512,2084,4.070312
708,512,2041,3.986328
709,512,2125,4.150391
710,512,2250,4.394531
711,512,2000,3.906250
712,512,2125,4.150391
713,512,2042,3.988281
714,512,1917,3.744141
715,512,2042,3.988281
716,512,2083,4.068359
717,512,2000,3.906250
718,512,2083,4.068359
719,512,2000,3.906250
720,512,2000,3.906250
721,512,2041,3.986328
722,512,2167,4.232422
723,512,2000,3.906250
724,512,2083,4.068359
725,512,2167,4.232422
726,512,2000,3.906250
727,512,2041,3.986328
728,512,2042,3.988281
729,512,2083,4.068359
730,512,2000,3.906250
731,512,1958,3.824219
732,512,2125,4.150391
733,512,2041,3.986328
734,512,2084,4.070312
735,512,2000,3.906250
736,512,2000,3.906250
737,512,2000,3.906250
738,512,2042,3.988281
739,512,2083,4.068359
740,512,2041,3.986328
741,512,2000,3.906250
742,512,2000,3.906250
743,512,2125,4.150391
744,512,2083,4.068359
745,512,1959,3.826172
746,512,2084,4.070312
747,512,2083,4.068359
748,512,2083,4.068359
749,512,2000,3.906250
750,512,2000,3.906250
751,512,2125,4.150391
752,512,2000,3.906250
753,512,2000,3.906250
754,512,2084,4.070312
755,512,2084,4.070312
756,512,2083,4.068359
757,512,2042,3.988281
758,512,2041,3.986328
759,512,2084,4.070312
760,512,2000,3.906250
761,512,2209,4.314453
762,512,2166,4.230469
763,512,2042,3.988281
764,512,2000,3.906250
765,512,2083,4.068359
766,512,2042,3.988281
767,512,2041,3.986328
768,512,2125,4.150391
769,512,2000,3.906250
770,512,2041,3.986328
771,512,2125,4.150391
772,512,2000,3.906250
773,512,2042,3.988281
774,512,2042,3.988281
775,512,2042,3.988281
776,512,2084,4.070312
777,512,2084,4.070312
778,512,1959,3.826172
779,512,2041,3.986328
780,512,2209,4.314453
781,512,2000,3.906250
782,512,2125,4.150391
783,512,2000,3.906250
784,512,2000,3.906250
785,512,2042,3.988281
786,512,2000,3.906250
787,512,2000,3.906250
788,512,2083,4.068359
789,512,2042,3.988281
790,512,2041,3.986328
791,512,2417,4.720703
792,512,2750,5.371094
793,512,2625,5.126953
794,512,2625,5.126953
795,512,2542,4.964844
796,512,2625,5.126953
797,512,2542,4.964844
798,512,2625,5.126953
799,512,2792,5.453125
800,512,2666,5.207031
801,512,2625,5.126953
802,512,2708,5.289062
803,512,2583,5.044922
804,512,2584,5.046875
805,512,2584,5.046875
806,512,2666,5.207031
807,512,2709,5.291016
808,512,2750,5.371094
809,512,2666,5.207031
810,512,2792,5.453125
811,512,2416,4.718750
