# Experiment 02 Phase 2 raw repetitions — ONE implementation per process.
# ns_per_message = END-TO-END elapsed_ns / messages delivered (NOT a per-call latency, NOT one-way handoff).
# All 5 measured repetitions are present; 1 warm-up repetition(s) are excluded from every published figure.
rep,impl,message_bytes,capacity,message_count,elapsed_ns,ns_per_message,messages_per_second,producer_full_retries,consumer_empty_retries,checksum,correctness
0,mutex,8,4096,10000000,224314583,22.431458,44580249.158,2789433,1579299,18446744073709551615,PASS
1,mutex,8,4096,10000000,220224666,22.022467,45408174.214,2155423,2150978,18446744073709551615,PASS
2,mutex,8,4096,10000000,223156042,22.315604,44811692.797,2389633,1755947,18446744073709551615,PASS
3,mutex,8,4096,10000000,218585167,21.858517,45748758.423,2268599,1899663,18446744073709551615,PASS
4,mutex,8,4096,10000000,229915625,22.991563,43494216.628,2779759,1697256,18446744073709551615,PASS
