# Experiment 02 Phase 2 raw repetitions — ONE implementation per process.
# ns_per_message = END-TO-END elapsed_ns / messages delivered (NOT a per-call latency, NOT one-way handoff).
# All 5 measured repetitions are present; 1 untimed warm-up repetition(s) are excluded.
rep,impl,message_bytes,capacity,message_count,elapsed_ns,ns_per_message,messages_per_second,producer_full_retries,consumer_empty_retries,checksum,correctness
0,spsc,64,1024,10000000,407988209,40.798821,24510512.263,83968,43173076,8986780111068692703,PASS
1,spsc,64,1024,10000000,367255375,36.725538,27229009.242,213425,34725438,8986780111068692703,PASS
2,spsc,64,1024,10000000,426817750,42.681775,23429203.682,384708,41373323,8986780111068692703,PASS
3,spsc,64,1024,10000000,396485000,39.648500,25221635.119,116736,41892472,8986780111068692703,PASS
4,spsc,64,1024,10000000,404725958,40.472596,24708076.669,305152,43573357,8986780111068692703,PASS
