# Experiment 02 Phase 2 raw repetitions — ONE implementation per process.
# ns_per_message = END-TO-END elapsed_ns / messages delivered (NOT a per-call latency, NOT one-way handoff).
# All 5 measured repetitions are present; 1 warm-up repetition(s) are excluded from every published figure.
rep,impl,message_bytes,capacity,message_count,elapsed_ns,ns_per_message,messages_per_second,producer_full_retries,consumer_empty_retries,checksum,correctness
0,mutex,8,1024,10000000,494360500,49.436050,20228153.342,31240634,3451868,18446744073709551615,PASS
1,mutex,8,1024,10000000,526086459,52.608646,19008282.439,35204810,3206134,18446744073709551615,PASS
2,mutex,8,1024,10000000,492354167,49.235417,20310582.646,31917398,2913309,18446744073709551615,PASS
3,mutex,8,1024,10000000,531001875,53.100187,18832325.215,35781778,2865904,18446744073709551615,PASS
4,mutex,8,1024,10000000,510339958,51.033996,19594781.563,33377706,2880116,18446744073709551615,PASS
