# Experiment 02 Phase 2 raw repetitions — ONE implementation per process.
# ns_per_message = END-TO-END elapsed_ns / messages delivered (NOT a per-call latency, NOT one-way handoff).
# All 5 measured repetitions are present; 1 warm-up repetition(s) are excluded from every published figure.
rep,impl,message_bytes,capacity,message_count,elapsed_ns,ns_per_message,messages_per_second,producer_full_retries,consumer_empty_retries,checksum,correctness
0,mutex,32,4096,10000000,230086625,23.008662,43461891.798,757334,1834283,15742678983221721015,PASS
1,mutex,32,4096,10000000,224086291,22.408629,44625666.101,1251001,1703378,15742678983221721015,PASS
2,mutex,32,4096,10000000,233505417,23.350542,42825558.946,905747,1970412,15742678983221721015,PASS
3,mutex,32,4096,10000000,232158458,23.215846,43074028.343,801139,2051299,15742678983221721015,PASS
4,mutex,32,4096,10000000,220968917,22.096892,45255233.794,956132,1977925,15742678983221721015,PASS
