# Phase 4 raw batch samples. batch-normalized ns/update = elapsed_ns / batch_operations (a batch average, NOT a directly
# measured single-update latency). batch_operations is the ACTUAL op count of the batch: batch_size for every row except
# the final row when updates % batch_size is nonzero (a partial batch, which is EXCLUDED from every distribution
# metric in the summary).
# impl=map wl=C levels=1000000 updates=10000000 batch_size=512 seed=407715774446 partial_rows=1
sample_index,batch_operations,elapsed_ns,normalized_ns_per_update
248,512,37250,72.753906
249,512,36750,71.777344
250,512,37166,72.589844
251,512,35417,69.173828
252,512,37583,73.404297
253,512,37000,72.265625
254,512,35709,69.744141
255,512,36916,72.101562
256,512,37584,73.406250
257,512,38375,74.951172
258,512,38250,74.707031
259,512,38250,74.707031
260,512,37291,72.833984
261,512,37458,73.160156
262,512,36792,71.859375
263,512,37583,73.404297
264,512,37000,72.265625
265,512,35833,69.986328
266,512,38208,74.625000
267,512,37834,73.894531
268,512,37333,72.916016
269,512,37375,72.998047
270,512,36625,71.533203
271,512,38791,75.763672
272,512,36833,71.939453
273,512,36917,72.103516
274,512,36833,71.939453
275,512,38125,74.462891
276,512,36458,71.207031
277,512,36334,70.964844
278,512,36917,72.103516
279,512,35417,69.173828
280,512,36584,71.453125
281,512,35500,69.335938
282,512,38167,74.544922
283,512,36875,72.021484
284,512,37375,72.998047
285,512,37917,74.056641
286,512,37416,73.078125
287,512,36375,71.044922
288,512,38667,75.521484
289,512,36500,71.289062
290,512,36250,70.800781
291,512,37083,72.427734
292,512,36083,70.474609
293,512,37584,73.406250
294,512,36375,71.044922
295,512,37042,72.347656
296,512,36417,71.126953
297,512,36833,71.939453
298,512,37792,73.812500
299,512,37291,72.833984
300,512,36750,71.777344
301,512,34583,67.544922
302,512,36750,71.777344
303,512,36667,71.615234
304,512,36041,70.392578
305,512,35125,68.603516
306,512,38708,75.601562
307,512,37958,74.136719
308,512,39084,76.335938
309,512,38209,74.626953
310,512,37459,73.162109
311,512,37416,73.078125
312,512,36667,71.615234
313,512,38042,74.300781
314,512,37834,73.894531
315,512,36542,71.371094
316,512,36792,71.859375
317,512,37375,72.998047
318,512,36125,70.556641
319,512,35958,70.230469
320,512,37291,72.833984
321,512,36708,71.695312
322,512,37375,72.998047
323,512,36500,71.289062
324,512,37084,72.429688
325,512,37541,73.322266
326,512,35625,69.580078
327,512,36500,71.289062
328,512,34917,68.197266
329,512,35917,70.150391
330,512,35208,68.765625
