# Experiment 02 Phase 4 — PER-REPETITION LATENCY SUMMARY.
# One row per MEASURED repetition. The warm-up repetition is not summarized here at all.
# Percentiles are nearest-rank on the observed samples: index(p) = ceil(p*N) - 1.
# P99.99 is deliberately not reported. No pooled distribution is produced.
# ns_per_message = elapsed_ns / messages delivered: an END-TO-END rate over the whole
# repetition, NOT a latency, and NOT comparable with Phase-2/3 absolute values.
# expected_samples = (messages - settling_prefix) / sample_interval; a row whose
# sample_count differs from it is a FAILURE, not a smaller dataset.
# queue=SpscSeparatedBaselineRingBuffer session=2 message_bytes=64 capacity=1024 messages=10000000 settling_prefix=100000 sample_interval=1021 warmup_reps=1 measured_reps=5
session,message_bytes,capacity,repetition,status,expected_samples,sample_count,min_ns,mean_ns,p50_ns,p90_ns,p99_ns,p999_ns,max_ns,elapsed_ns,ns_per_message,delivered,producer_full_retries,consumer_empty_retries,checksum,sequence_ok,correctness
2,64,1024,1,PASS,9696,9696,41,25943.816,19875,77125,81250,90292,139583,547577833,54.757783,10000000,786126,45450299,11631761381637613921,1,PASS
2,64,1024,2,PASS,9696,9696,41,27572.101,18833,76042,85958,184042,2449041,548115791,54.811579,10000000,1797451,45539400,11631761381637613921,1,PASS
2,64,1024,3,PASS,9696,9696,41,20416.872,292,74292,81459,90083,101292,524260542,52.426054,10000000,961270,59102643,11631761381637613921,1,PASS
2,64,1024,4,PASS,9696,9696,41,5351.451,84,9917,82125,90292,113083,606445541,60.644554,10000000,272690,99007290,11631761381637613921,1,PASS
2,64,1024,5,PASS,9696,9696,41,21560.480,14458,60917,83667,93916,9968959,489805833,48.980583,10000000,1611412,47582545,11631761381637613921,1,PASS
