# Experiment 02 Phase 3B raw repetitions — ONE implementation per process.
# ns_per_message = END-TO-END elapsed_ns / messages delivered (NOT a per-call latency, NOT one-way handoff).
# The ONE implementation treatment is HOW OFTEN each thread reads the opposite thread's cursor. Cursor placement is the
# verified SEPARATED layout in BOTH variants, and both variants have the same object_size and payload_offset.
# measurement_mode=performance means no hot-path counting was compiled in; remote_load columns are 0 and instrumented=0.
# measurement_mode=mechanism means the counters were live; a throughput number from those rows is NOT the canonical result.
# remote loads are ORDINARY THREAD-OWNED counters, read after both threads joined — never global atomics on the hot path.
# The cursor/cached addresses and line indices below were measured on the SAME object this repetition timed,
# OUTSIDE the timed interval. layout_ok=PASS means the measured placement matched the claim; cached_placement_ok=PASS means
# each cached remote cursor sat on its OWN owner's line and not on the remote cursor's line.
# All 5 measured repetitions are present; 1 warm-up repetition(s) are excluded from every published figure.
rep,measurement_mode,impl,message_bytes,capacity,message_count,elapsed_ns,ns_per_message,messages_per_second,producer_full_retries,consumer_empty_retries,checksum,correctness,instrumented,producer_remote_tail_loads,consumer_remote_head_loads,producer_remote_tail_loads_per_message,consumer_remote_head_loads_per_message,reported_cache_line_size,head_addr,tail_addr,head_line,tail_line,cursors_same_line,layout_ok,cached_tail_addr,cached_head_addr,cached_tail_line,cached_head_line,cached_placement_ok,object_addr,object_size,payload_offset,payload_begin_addr
0,performance,cached,8,4096,10000000,545846166,54.584617,18320179.975,304,74824678,10519384496848615539,PASS,0,0,0,0.000000000,0.000000000,128,5368741888,5368742016,41943296,41943297,no,PASS,5368741896,5368742024,41943296,41943297,PASS,5368741888,33024,256,5368742144
1,performance,cached,8,4096,10000000,534108416,53.410842,18722790.543,241049,68431960,10519384496848615539,PASS,0,0,0,0.000000000,0.000000000,128,5368741888,5368742016,41943296,41943297,no,PASS,5368741896,5368742024,41943296,41943297,PASS,5368741888,33024,256,5368742144
2,performance,cached,8,4096,10000000,577059542,57.705954,17329234.285,111423,79057103,10519384496848615539,PASS,0,0,0,0.000000000,0.000000000,128,5100306432,5100306560,39846144,39846145,no,PASS,5100306440,5100306568,39846144,39846145,PASS,5100306432,33024,256,5100306688
3,performance,cached,8,4096,10000000,568773250,56.877325,17581698.858,22523,75381082,10519384496848615539,PASS,0,0,0,0.000000000,0.000000000,128,4831870976,4831871104,37748992,37748993,no,PASS,4831870984,4831871112,37748992,37748993,PASS,4831870976,33024,256,4831871232
4,performance,cached,8,4096,10000000,512781667,51.278167,19501477.224,0,68038889,10519384496848615539,PASS,0,0,0,0.000000000,0.000000000,128,4563435520,4563435648,35651840,35651841,no,PASS,4563435528,4563435656,35651840,35651841,PASS,4563435520,33024,256,4563435776
