# Experiment 02 Phase 3B raw repetitions — ONE implementation per process.
# ns_per_message = END-TO-END elapsed_ns / messages delivered (NOT a per-call latency, NOT one-way handoff).
# The ONE implementation treatment is HOW OFTEN each thread reads the opposite thread's cursor. Cursor placement is the
# verified SEPARATED layout in BOTH variants, and both variants have the same object_size and payload_offset.
# measurement_mode=performance means no hot-path counting was compiled in; remote_load columns are 0 and instrumented=0.
# measurement_mode=mechanism means the counters were live; a throughput number from those rows is NOT the canonical result.
# remote loads are ORDINARY THREAD-OWNED counters, read after both threads joined — never global atomics on the hot path.
# The cursor/cached addresses and line indices below were measured on the SAME object this repetition timed,
# OUTSIDE the timed interval. layout_ok=PASS means the measured placement matched the claim; cached_placement_ok=PASS means
# each cached remote cursor sat on its OWN owner's line and not on the remote cursor's line.
# All 5 measured repetitions are present; 1 warm-up repetition(s) are excluded from every published figure.
rep,measurement_mode,impl,message_bytes,capacity,message_count,elapsed_ns,ns_per_message,messages_per_second,producer_full_retries,consumer_empty_retries,checksum,correctness,instrumented,producer_remote_tail_loads,consumer_remote_head_loads,producer_remote_tail_loads_per_message,consumer_remote_head_loads_per_message,reported_cache_line_size,head_addr,tail_addr,head_line,tail_line,cursors_same_line,layout_ok,cached_tail_addr,cached_head_addr,cached_tail_line,cached_head_line,cached_placement_ok,object_addr,object_size,payload_offset,payload_begin_addr
0,performance,cached,32,1024,10000000,458827166,45.882717,21794699.052,2039508,83839197,17026924093925341122,PASS,0,0,0,0.000000000,0.000000000,128,5234524160,5234524288,40894720,40894721,no,PASS,5234524168,5234524296,40894720,40894721,PASS,5234524160,33024,256,5234524416
1,performance,cached,32,1024,10000000,476733834,47.673383,20976065.231,1469997,86818583,17026924093925341122,PASS,0,0,0,0.000000000,0.000000000,128,5234524160,5234524288,40894720,40894721,no,PASS,5234524168,5234524296,40894720,40894721,PASS,5234524160,33024,256,5234524416
2,performance,cached,32,1024,10000000,496140959,49.614096,20155562.282,593998,99016253,17026924093925341122,PASS,0,0,0,0.000000000,0.000000000,128,4966088704,4966088832,38797568,38797569,no,PASS,4966088712,4966088840,38797568,38797569,PASS,4966088704,33024,256,4966088960
3,performance,cached,32,1024,10000000,534882541,53.488254,18695693.416,991757,94505697,17026924093925341122,PASS,0,0,0,0.000000000,0.000000000,128,4697653248,4697653376,36700416,36700417,no,PASS,4697653256,4697653384,36700416,36700417,PASS,4697653248,33024,256,4697653504
4,performance,cached,32,1024,10000000,573785583,57.378558,17428113.038,2556071,88101724,17026924093925341122,PASS,0,0,0,0.000000000,0.000000000,128,4831870976,4831871104,37748992,37748993,no,PASS,4831870984,4831871112,37748992,37748993,PASS,4831870976,33024,256,4831871232
